,LSTM_MAE_UP,LSTM_MAE_down,LSTM_RMSE_UP,LSTM_RMSE_down
0,10.554223287664824,9.537512588455918,27.936987064007628,25.680883724289334
1,9.011041028366172,8.707266572112928,26.385754943523555,25.329794142900013
2,9.232177291039104,8.66486687336323,26.666020171027043,24.296178562291246
3,9.445857846627355,8.815534842977563,27.777363915742832,25.5278886371115
4,9.084095645647766,8.686112366995053,26.127520201449837,24.439029429807963
5,10.348892654953689,8.772658884155806,28.52497692439734,23.993438126390693
6,10.081137531012665,9.188531784528772,30.37173353875791,27.741878089036707
7,9.176037354772308,8.286613443152469,26.458072335828007,23.443325006212998
8,10.303662827163244,9.814701762081153,26.781541089512526,24.718966927562864
9,8.945780391554004,8.243615872419205,27.073158368693075,25.31684638855235
10,9.291587072939246,8.094187965014813,26.998148570317866,23.255458496760696
11,9.610655732271052,8.674082543115125,27.774079809002053,24.75387931493096
12,9.354418899039084,9.002974719942102,28.86706461848635,27.872199756056855
13,9.603085079413852,8.818939211240767,26.733632926145614,24.79056589955022
14,10.175293681455521,9.27914221506843,27.261826963990504,24.539023475852808
15,9.036393114958477,8.276892029005397,26.257987113615698,24.071417095231084
16,9.396213359960383,8.690493874592901,27.434168353952575,25.68074845785229
17,8.929942869125432,8.238462118885638,26.703411857216743,25.04337295962235
18,9.868199311307976,9.192357162106546,28.434275677071867,26.540572691755347
19,8.732343316035085,8.661403371215602,26.069266438830994,25.47450555827347
20,10.094116202858187,9.321022485356801,28.034644195550342,24.84215903010873
21,9.335208466194544,8.746603253488752,26.996489096919976,25.213607062500397
22,9.614604956154194,9.030629815474356,26.233881602951513,24.016118256598812
23,8.885373517103993,8.78844427502884,25.936947879883633,25.71329192495445
24,8.735155637719268,7.6524357263870035,26.574598895077138,23.035966206910093
25,9.3235328331433,8.895904760633174,27.939852748926427,26.355387606690915
26,8.792550542400784,8.186149860508626,26.630275990835834,24.074188449335328
27,9.579096425544693,8.79486229909636,26.871824309869968,24.295820909502538
28,9.373172403337659,8.527950222625215,26.70054307817479,23.79394633867277
