,GRU_pre_down_1step,GRU_pre_down_2step,GRU_pre_down_4step,GRU_pre_up_1step,GRU_pre_up_2step,GRU_pre_up_4step,GRU_real_down_1step,GRU_real_down_2step,GRU_real_down_4step,GRU_real_up_1step,GRU_real_up_2step,GRU_real_up_4step
45,-8.318127,436.9329,461.93732,549.2662,48.06752,19.530893,0.0,536.6400000000004,492.0,600.0,0.0,45.0
46,-12.849275,350.05658,461.93732,551.4736,64.8244,19.530893,0.0,244.1500000000001,492.0,600.0,63.35999999999946,45.0
47,-16.246252,350.05658,461.93732,552.57043,64.8244,19.530893,0.0,244.1500000000001,492.0,600.0,63.35999999999946,45.0
48,-18.560213,255.85481,447.2926,552.6458,210.96118,17.03757,0.0,217.15000000000006,414.0,600.0,156.0,39.0
49,-19.967926,255.85481,447.2926,551.8854,210.96118,17.03757,0.0,217.15000000000006,414.0,600.0,156.0,39.0
50,-20.686857,224.33708,447.2926,550.47675,326.23895,17.03757,0.0,193.55000000000024,414.0,600.0,293.59999999999985,39.0
51,-20.924112,224.33708,447.2926,548.6078,326.23895,17.03757,0.0,193.55000000000024,414.0,600.0,293.59999999999985,39.0
52,-20.85366,236.64093,455.7573,546.4414,310.48676,14.12608,0.0,193.55000000000024,414.0,600.0,245.859999999999,39.0
53,-20.616169,236.64093,455.7573,544.11646,310.48676,14.12608,0.0,193.55000000000024,414.0,600.0,245.859999999999,39.0
54,-20.321325,254.58607,455.7573,541.74536,265.4478,14.12608,0.0,241.29000000000113,414.0,600.0,297.0,39.0
55,-20.053888,254.58607,455.7573,539.41785,265.4478,14.12608,0.0,241.29000000000113,414.0,600.0,297.0,39.0
56,24.404583,259.43243,428.50815,532.2509,264.5401,14.031501,12.0,288.0,438.0,588.0,309.0,12.0
57,34.000374,259.43243,428.50815,526.5696,264.5401,14.031501,48.0,288.0,438.0,552.0,309.0,12.0
58,27.911165,245.10217,428.50815,552.70654,265.37082,14.031501,45.0,279.0,438.0,555.0,309.0,12.0
59,43.225334,245.10217,428.50815,539.9595,265.37082,14.031501,30.0,279.0,438.0,570.0,309.0,12.0
60,43.330162,232.09947,434.77493,546.6146,271.44016,10.198341,46.28000000000004,278.56800000000015,438.0,553.72,321.0,0.0
61,66.80669,232.09947,434.77493,520.8787,271.44016,10.198341,42.19600000000007,278.56800000000015,438.0,557.804,321.0,0.0
62,78.16653,174.7756,434.77493,517.51843,326.06918,10.198341,10.866000000000032,201.0,438.0,589.134,321.43199999999985,0.0
63,83.31695,174.7756,434.77493,516.5592,326.06918,10.198341,76.28000000000004,201.0,438.0,523.72,321.43199999999985,0.0
64,142.25624,148.20956,445.13522,455.91138,353.34354,11.820978,106.77600000000044,177.56000000000083,417.0,493.2239999999996,378.0,0.0
65,165.15533,148.20956,445.13522,450.93488,353.34354,11.820978,148.86600000000004,177.56000000000083,417.0,451.13399999999996,378.0,0.0
66,175.06514,69.398186,445.13522,447.3633,452.72037,11.820978,129.64000000000016,79.04600000000033,417.0,470.35999999999984,422.43999999999954,0.0
67,166.46669,69.398186,445.13522,458.173,452.72037,11.820978,107.92800000000025,79.04600000000033,417.0,492.0719999999997,422.43999999999954,0.0
68,213.55022,44.63788,447.60364,403.77835,489.96027,14.817105,200.85600000000068,48.31000000000002,519.0,399.1439999999993,456.0539999999999,0.0
69,183.60915,44.63788,447.60364,445.47818,489.96027,14.817105,112.19999999999996,48.31000000000002,519.0,487.6999999999998,456.0539999999999,0.0
70,175.00253,35.446426,447.60364,448.453,498.40646,14.817105,109.34999999999992,15.0,519.0,490.5499999999998,483.8399999999999,0.0
71,167.92758,35.446426,447.60364,453.71146,498.40646,14.817105,146.63000000000005,15.0,519.0,453.26999999999975,483.8399999999999,0.0
72,170.44138,38.094307,452.08923,448.64084,486.25616,18.136572,89.29400000000086,15.0,519.0,510.60599999999886,465.0,0.0
73,199.49203,38.094307,452.08923,415.6095,486.25616,18.136572,214.6620000000008,15.0,519.0,385.23799999999943,465.0,0.0
74,207.8432,38.113842,452.08923,412.58508,479.33893,18.136572,220.3500000000001,51.0,519.0,379.54999999999984,456.0,0.0
75,240.30363,38.113842,452.08923,376.69354,479.33893,18.136572,215.6380000000011,51.0,519.0,383.06199999999865,456.0,0.0
76,83.35847,43.22023,444.71033,561.38403,457.7562,18.467295,0.0,39.0,519.0,600.0,477.0,0.0
77,59.5201,43.22023,444.71033,577.4489,457.7562,18.467295,0.0,39.0,519.0,600.0,477.0,0.0
78,48.24717,3.957088,444.71033,561.3875,476.28107,18.467295,0.0,0.0,519.0,600.0,516.0,0.0
79,24.292639,3.957088,444.71033,566.3998,476.28107,18.467295,0.0,0.0,519.0,600.0,516.0,0.0
80,0.2966841,-5.6532946,437.65396,573.464,486.8176,28.019407,0.0,0.0,519.0,600.0,516.0,0.0
81,-21.38447,-5.6532946,437.65396,579.9222,486.8176,28.019407,0.0,0.0,519.0,600.0,516.0,0.0
82,-39.21438,-7.0945807,437.65396,585.452,466.91934,28.019407,0.0,0.0,519.0,600.0,516.0,0.0
83,-53.128098,-7.0945807,437.65396,589.4564,466.91934,28.019407,0.0,0.0,519.0,600.0,516.0,0.0
84,-63.79798,1.0826572,388.10376,591.93396,465.1541,40.514763,0.0,0.0,244.1500000000001,600.0,516.0,0.0
85,-71.92314,1.0826572,388.10376,593.0497,465.1541,40.514763,0.0,0.0,244.1500000000001,600.0,516.0,0.0
86,-78.10027,0.4678899,388.10376,593.0406,472.07983,40.514763,0.0,0.0,244.1500000000001,600.0,516.0,0.0
87,-82.795456,0.4678899,388.10376,592.1663,472.07983,40.514763,0.0,0.0,244.1500000000001,600.0,516.0,0.0
88,-14.302581,-3.332674,278.2529,529.2451,479.9973,48.06752,28.800000000000487,0.0,217.15000000000006,538.7500000000009,516.0,0.0
89,-55.206863,-3.332674,278.2529,575.9003,479.9973,48.06752,0.8500000000000213,0.0,217.15000000000006,599.1500000000002,516.0,0.0
90,-73.994125,-8.318127,278.2529,609.3006,486.71677,48.06752,0.8499999999998417,0.0,217.15000000000006,599.1500000000002,516.0,0.0
91,-71.6558,-8.318127,278.2529,609.1356,486.71677,48.06752,0.449999999999916,0.0,217.15000000000006,599.1500000000002,516.0,0.0
92,-59.892735,-12.849275,215.77786,591.3669,491.2384,64.8244,0.4000000000000851,0.0,193.55000000000024,594.7500000000002,516.0,63.35999999999946
93,-44.11348,-12.849275,215.77786,572.49524,491.2384,64.8244,0.8500000000000213,0.0,193.55000000000024,599.1500000000002,516.0,63.35999999999946
94,-22.070105,-16.246252,215.77786,549.288,493.77805,64.8244,1.699999999999843,0.0,193.55000000000024,598.3000000000001,516.0,63.35999999999946
95,5.2460723,-16.246252,215.77786,528.576,493.77805,64.8244,0.0,0.0,193.55000000000024,0.0,516.0,63.35999999999946
