,GRU_MAE_UP,GRU_MAE_down,GRU_RMSE_UP,GRU_RMSE_down
0,11.42330152802878,8.524608313492116,28.572518440729617,21.146673705546355
1,10.369455533026208,8.128775871644807,27.00852213716523,21.099669080378337
2,10.272479592038009,8.040849058064875,26.72994250988026,20.228219186262326
3,10.191433733141,8.181499669671943,27.78870281486354,21.3851805145247
4,10.305180577043835,7.889573014760749,26.993838986066418,19.929508041717465
5,11.082086377797747,8.05213251078837,28.721576691102797,20.076172782593012
6,11.642353656941651,8.490192670828455,31.706184351994906,23.259620472008105
7,10.276935770318481,7.412998122898366,27.182742797703412,19.10407298879899
8,11.254947537579381,8.659405829256443,27.175516940322872,20.69243691993501
9,10.350810449241594,7.739595816029878,27.935915462172257,20.822982737071513
10,10.36977613344137,7.451517459835625,27.865712953728416,19.321862085876766
11,10.593169651388191,7.894378866333211,28.22054506704866,20.483787856054107
12,11.00544344598972,8.54299428192489,29.75767812133882,23.72844361070773
13,10.536886552663313,7.769785626380204,27.26830577177956,20.144834226372005
14,11.037421929605124,8.49480859732057,27.511632748925823,20.755987845307043
15,10.144804548289567,7.627383818610497,27.077464750863303,20.0335344855497
16,10.406052920160313,8.1472548905543,27.69845213446741,21.326302723002197
17,10.29282115094525,7.651794663893024,27.379093886903895,20.599039944142774
18,11.010935993247147,8.151622955096862,29.470343937111927,21.927563953297895
19,9.970347897881762,8.027718410408148,26.59534139553822,21.02656207686365
20,10.9242964617229,8.53456319873574,27.825501880289828,20.910626984859277
21,10.090452024687824,7.853240208661297,27.26901787577709,20.75859326618436
22,10.30929761001193,8.059707652853383,26.670328812908778,19.875598936782335
23,10.176694514202875,8.265252038367073,26.854621147517037,21.510430906121034
24,9.937848217556093,7.1348525942338386,26.97808318818702,18.756756347601854
25,10.379229548092544,8.511271349540676,28.228681453080398,22.426548616909507
26,10.230311642295737,7.724140476848476,27.1767507158311,19.666203530814748
27,10.69252437024508,8.142169775667341,27.3152096166004,19.97784916569264
28,10.247188504911692,7.6841814512096205,27.05611029817168,19.604188055705936
