,TCN_real_up_1step,TCN_real_up_2step,TCN_real_up_4step,TCN_pre_up_1step,TCN_pre_up_2step,TCN_pre_up_4step,TCN_real_down_1step,TCN_real_down_2step,TCN_real_down_4step,TCN_pre_down_1step,TCN_pre_down_2step,TCN_pre_down_4step
78,600.0,516.0,0.0,598.09576,509.1195,5.170605,0.0,0.0,519.0,-1.6025517,-0.9057764,569.4238
79,600.0,516.0,0.0,600.4429,509.1195,5.170605,0.0,0.0,519.0,-2.1673222,-0.9057764,569.4238
80,600.0,516.0,0.0,584.0947,499.41095,5.508399,0.0,0.0,519.0,-3.4457312,0.030422956,552.231
81,600.0,516.0,0.0,585.19006,499.41095,5.508399,0.0,0.0,519.0,-1.3074037,0.030422956,552.231
82,600.0,516.0,0.0,598.9465,511.96082,5.508399,0.0,0.0,519.0,-1.6025294,0.65700483,552.231
83,600.0,516.0,0.0,596.1869,511.96082,5.508399,0.0,0.0,519.0,-0.684103,0.65700483,552.231
84,600.0,516.0,0.0,594.06683,541.1646,8.93525,0.0,0.0,244.1500000000001,-0.56368184,0.19175112,316.2271
85,600.0,516.0,0.0,595.26825,541.1646,8.93525,0.0,0.0,244.1500000000001,0.21296628,0.19175112,316.2271
86,600.0,516.0,0.0,600.05963,551.56055,8.93525,0.0,0.0,244.1500000000001,0.12546591,0.4586365,316.2271
87,600.0,516.0,0.0,595.4025,551.56055,8.93525,0.0,0.0,244.1500000000001,0.5420342,0.4586365,316.2271
88,538.7500000000009,516.0,0.0,538.4254,539.17224,21.741156,28.800000000000487,0.0,217.15000000000006,25.42579,-0.13394617,163.43246
89,599.1500000000002,516.0,0.0,601.35864,539.17224,21.741156,0.8500000000000213,0.0,217.15000000000006,1.8011447,-0.13394617,163.43246
90,599.1500000000002,516.0,0.0,589.9792,504.37186,21.741156,0.8499999999998417,0.0,217.15000000000006,0.15894212,-0.05534962,163.43246
91,599.1500000000002,516.0,0.0,596.66797,504.37186,21.741156,0.449999999999916,0.0,217.15000000000006,-0.7364709,-0.05534962,163.43246
92,594.7500000000002,516.0,63.35999999999946,595.0911,496.74414,123.955956,0.4000000000000851,0.0,193.55000000000024,0.04578419,-0.025744736,142.98578
93,599.1500000000002,516.0,63.35999999999946,593.64795,496.74414,123.955956,0.8500000000000213,0.0,193.55000000000024,-0.41485614,-0.025744736,142.98578
94,598.3000000000001,516.0,63.35999999999946,591.37756,500.54523,123.955956,1.699999999999843,0.0,193.55000000000024,0.66882557,-0.3208503,142.98578
95,0.0,516.0,63.35999999999946,596.58624,500.54523,123.955956,0.0,0.0,193.55000000000024,0.7051516,-0.3208503,142.98578
