,LTSM_pre_down_1step,LTSM_pre_down_2step,LTSM_pre_down_4step,LTSM_pre_up_1step,LTSM_pre_up_2step,LTSM_pre_up_4step,LTSM_real_down_1step,LTSM_real_down_2step,LTSM_real_down_4step,LTSM_real_up_1step,LTSM_real_up_2step,LTSM_real_up_4step
68,48.18156,24.047695,405.7089,360.49707,435.87045,-20.665243,200.85600000000068,48.31000000000002,519.0,399.1439999999993,456.0539999999999,0.0
69,51.55446,24.047695,405.7089,380.04977,435.87045,-20.665243,112.19999999999996,48.31000000000002,519.0,487.6999999999998,456.0539999999999,0.0
70,45.036655,-15.188579,405.7089,380.07242,461.23615,-20.665243,109.34999999999992,15.0,519.0,490.5499999999998,483.8399999999999,0.0
71,40.43285,-15.188579,405.7089,378.9548,461.23615,-20.665243,146.63000000000005,15.0,519.0,453.26999999999975,483.8399999999999,0.0
72,38.65569,-39.621532,412.2077,375.0162,475.85507,-20.006403,89.29400000000086,15.0,519.0,510.60599999999886,465.0,0.0
73,45.818214,-39.621532,412.2077,358.6574,475.85507,-20.006403,214.6620000000008,15.0,519.0,385.23799999999943,465.0,0.0
74,52.06804,-52.97635,412.2077,356.92398,482.9755,-20.006403,220.3500000000001,51.0,519.0,379.54999999999984,456.0,0.0
75,60.264412,-52.97635,412.2077,341.07123,482.9755,-20.006403,215.6380000000011,51.0,519.0,383.06199999999865,456.0,0.0
76,8.941844,-60.6407,410.82526,416.554,492.60037,-14.547057,0.0,39.0,519.0,600.0,477.0,0.0
77,-41.82611,-60.6407,410.82526,444.17072,492.60037,-14.547057,0.0,39.0,519.0,600.0,477.0,0.0
78,-68.95219,-62.771587,410.82526,461.1697,489.16245,-14.547057,0.0,0.0,519.0,600.0,516.0,0.0
79,-85.08068,-62.771587,410.82526,478.16553,489.16245,-14.547057,0.0,0.0,519.0,600.0,516.0,0.0
80,-96.06346,-74.77873,404.6594,488.74237,508.9967,-5.5677137,0.0,0.0,519.0,600.0,516.0,0.0
81,-102.88274,-74.77873,404.6594,493.11905,508.9967,-5.5677137,0.0,0.0,519.0,600.0,516.0,0.0
82,-106.17948,-82.55232,404.6594,494.84628,512.1532,-5.5677137,0.0,0.0,519.0,600.0,516.0,0.0
83,-106.89733,-82.55232,404.6594,496.57495,512.1532,-5.5677137,0.0,0.0,519.0,600.0,516.0,0.0
84,-106.03247,-84.1202,318.94324,499.7929,512.0974,4.7799673,0.0,0.0,244.1500000000001,600.0,516.0,0.0
85,-104.47613,-84.1202,318.94324,505.18604,512.0974,4.7799673,0.0,0.0,244.1500000000001,600.0,516.0,0.0
86,-102.8922,-84.712906,318.94324,512.82135,514.23193,4.7799673,0.0,0.0,244.1500000000001,600.0,516.0,0.0
87,-101.672485,-84.712906,318.94324,522.37585,514.23193,4.7799673,0.0,0.0,244.1500000000001,600.0,516.0,0.0
88,-90.7005,-86.42189,246.03745,485.7365,515.57916,12.7078905,28.800000000000487,0.0,217.15000000000006,538.7500000000009,516.0,0.0
89,-85.22665,-86.42189,246.03745,491.0441,515.57916,12.7078905,0.8500000000000213,0.0,217.15000000000006,599.1500000000002,516.0,0.0
90,-85.82575,-88.47024,246.03745,492.253,515.78906,12.7078905,0.8499999999998417,0.0,217.15000000000006,599.1500000000002,516.0,0.0
91,-83.73309,-88.47024,246.03745,497.48022,515.78906,12.7078905,0.449999999999916,0.0,217.15000000000006,599.1500000000002,516.0,0.0
92,-79.52036,-90.09052,209.45071,506.69012,516.0986,27.314165,0.4000000000000851,0.0,193.55000000000024,594.7500000000002,516.0,63.35999999999946
93,-75.899826,-90.09052,209.45071,521.1445,516.0986,27.314165,0.8500000000000213,0.0,193.55000000000024,599.1500000000002,516.0,63.35999999999946
94,-74.19992,-91.12396,209.45071,534.5674,516.9304,27.314165,1.699999999999843,0.0,193.55000000000024,598.3000000000001,516.0,63.35999999999946
95,-74.31813,-91.12396,209.45071,547.3573,516.9304,27.314165,0.0,0.0,193.55000000000024,0.0,516.0,63.35999999999946
