,TRAN_real_up_1step,TRAN_real_up_2step,TRAN_real_up_4step,TRAN_pre_up_1step,TRAN_pre_up_2step,TRAN_pre_up_4step,TRAN_real_down_1step,TRAN_real_down_2step,TRAN_real_down_4step,TRAN_pre_down_1step,TRAN_pre_down_2step,TRAN_pre_down_4step
53,600.0,252.736,45.0,606.57,279.54388,34.876728,0.0,148.7,417.0,1.4169015,178.75266,414.69333
54,600.0,276.0,45.0,606.49,293.56058,34.876728,0.0,174.19,417.0,1.4437325,235.69511,414.69333
55,600.0,276.0,45.0,606.55115,293.56058,34.876728,0.0,174.19,417.0,1.4025003,235.69511,414.69333
56,567.0,276.0,0.0,574.33746,310.3021,15.739675,21.0,288.0,432.00003,25.23238,318.79367,440.99515
57,567.0,276.0,0.0,564.8401,310.3021,15.739675,0.0,288.0,432.00003,35.878265,318.79367,440.99515
58,508.424,276.0,0.0,561.9632,299.66162,15.739675,46.279995,288.0,432.00003,41.581116,321.41104,440.99515
59,600.0,276.0,0.0,576.42584,299.66162,15.739675,0.0,288.0,432.00003,23.949251,321.41104,440.99515
60,574.134,285.352,0.0,564.0795,299.13348,3.4315288,4.28,263.352,432.00003,34.594864,324.21533,446.79645
61,548.704,285.352,0.0,560.34064,299.13348,3.4315288,69.0,263.352,432.00003,41.006355,324.21533,446.79645
62,577.72,300.144,0.0,573.3605,317.6593,3.4315288,12.0,219.0,432.00003,25.192331,243.10823,446.79645
63,561.0,300.144,0.0,560.48804,317.6593,3.4315288,75.0,219.0,432.00003,38.59422,243.10823,446.79645
64,478.44,341.36,0.0,477.79193,402.11627,3.7446477,151.41599,161.7,432.00003,138.20244,196.99931,448.58704
65,495.0,341.36,0.0,481.9621,402.11627,3.7446477,139.28,161.7,432.00003,140.6613,196.99931,448.58704
66,466.208,395.9,0.0,467.77448,442.3578,3.7446477,171.0,76.04,432.00003,157.32256,67.523056,448.58704
67,504.402,395.9,0.0,475.4808,442.3578,3.7446477,143.196,76.04,432.00003,145.878,67.523056,448.58704
68,403.936,424.97003,0.0,415.10318,485.2873,3.221143,229.96,68.57,537.0,213.37335,44.780968,557.92474
69,505.49997,424.97003,0.0,475.52454,485.2873,3.221143,115.25,68.57,537.0,140.88072,44.780968,557.92474
70,481.066,450.0,0.0,468.94125,485.19366,3.221143,166.25,18.0,537.0,144.909,28.291195,557.92474
71,457.44998,450.0,0.0,461.6251,485.19366,3.221143,131.098,18.0,537.0,167.47693,28.291195,557.92474
72,494.322,420.0,0.0,475.80035,484.24094,1.8841959,128.61,18.0,474.0,143.89503,27.74536,556.04486
73,367.65802,420.0,0.0,386.2551,484.24094,1.8841959,237.914,18.0,474.0,236.82187,27.74536,556.04486
74,340.45,486.0,0.0,366.32852,492.07428,1.8841959,247.25,6.0,474.0,259.2514,23.315228,556.04486
75,346.066,486.0,0.0,372.8112,492.07428,1.8841959,228.322,6.0,474.0,251.40306,23.315228,556.04486
76,600.0,453.0,0.0,605.93,490.6899,1.1309848,0.0,6.0,474.0,2.0464427,22.864973,552.6572
77,600.0,453.0,0.0,605.3763,490.6899,1.1309848,0.0,6.0,474.0,2.1520793,22.864973,552.6572
78,600.0,486.0,0.0,604.25446,508.43015,1.1309848,0.0,0.0,474.0,2.0280428,1.4991559,552.6572
79,600.0,486.0,0.0,605.46185,508.43015,1.1309848,0.0,0.0,474.0,2.063828,1.4991559,552.6572
80,600.0,486.0,0.0,605.7608,509.57956,1.4419042,0.0,0.0,474.0,2.0966358,1.1214092,525.2017
81,600.0,486.0,0.0,604.60944,509.57956,1.4419042,0.0,0.0,474.0,2.0364113,1.1214092,525.2017
82,600.0,486.0,0.0,605.3456,509.31125,1.4419042,0.0,0.0,474.0,2.006252,1.1038296,525.2017
83,600.0,486.0,0.0,604.9883,509.31125,1.4419042,0.0,0.0,474.0,1.9978278,1.1038296,525.2017
84,600.0,486.0,0.0,605.75616,510.47034,2.0435593,0.0,0.0,294.238,2.0525224,1.0907315,283.85776
85,600.0,486.0,0.0,603.807,510.47034,2.0435593,0.0,0.0,294.238,1.8233657,1.0907315,283.85776
86,600.0,486.0,0.0,606.19464,509.34003,2.0435593,0.0,0.0,294.238,1.7974958,1.1658155,283.85776
87,600.0,486.0,0.0,602.86273,509.34003,2.0435593,0.0,0.0,294.238,1.9744768,1.1658155,283.85776
88,537.8,486.0,21.0,549.6584,509.5209,17.75993,26.100002,0.0,202.69002,1.733201,1.1687256,222.61688
89,599.0,486.0,21.0,606.15906,509.5209,17.75993,1.1,0.0,202.69002,1.8853738,1.1687256,222.61688
90,599.0,486.0,21.0,605.9634,510.23755,17.75993,1.1,0.0,202.69002,1.8969431,1.1957645,222.61688
91,599.0,486.0,21.0,606.0267,510.23755,17.75993,0.6,0.0,202.69002,1.8355026,1.1957645,222.61688
92,596.0,486.0,94.92,605.863,510.2215,79.65255,0.5,0.0,148.7,1.907654,1.1709452,198.00961
93,599.0,486.0,94.92,606.20776,510.2215,79.65255,1.1,0.0,148.7,1.8412046,1.1709452,198.00961
94,598.0,486.0,94.92,605.6423,510.45697,79.65255,2.2,0.0,148.7,1.8868245,1.2331479,198.00961
95,0.0,486.0,94.92,1.7796569,510.45697,79.65255,0.0,0.0,148.7,1.7332323,1.2331479,198.00961
