,norm_TRAN_real_up_1step,norm_TRAN_real_up_2step,norm_TRAN_real_up_4step,norm_TRAN_pre_up_1step,norm_TRAN_pre_up_2step,norm_TRAN_pre_up_4step,norm_TRAN_real_down_1step,norm_TRAN_real_down_2step,norm_TRAN_real_down_4step,norm_TRAN_pre_down_1step,norm_TRAN_pre_down_2step,norm_TRAN_pre_down_4step
72,234.0,135.0,0.0,202.06033,127.73018,0.3490975,282.0,156.0,42.0,261.69305,151.68442,58.39315
73,165.0,135.0,0.0,146.87418,127.73018,0.3490975,201.0,156.0,42.0,179.60297,151.68442,58.39315
74,156.0,135.0,0.0,135.0194,120.2391,0.3490975,171.0,90.0,42.0,194.10294,119.52263,58.39315
75,168.0,135.0,0.0,145.6924,120.2391,0.3490975,198.0,90.0,42.0,205.09499,119.52263,58.39315
76,177.0,117.0,0.0,154.01202,110.65856,0.10054369,158.99998,150.0,120.0,163.92085,150.17647,134.67795
77,180.0,117.0,0.0,148.55193,110.65856,0.10054369,150.0,150.0,120.0,140.98622,150.17647,134.67795
78,90.0,27.0,0.0,64.621574,22.266651,0.10054369,135.0,120.0,120.0,139.06648,131.11453,134.67795
79,117.0,27.0,0.0,91.50858,22.266651,0.10054369,123.0,120.0,120.0,131.75111,131.11453,134.67795
80,126.00001,84.0,0.0,105.89955,69.20335,0.4003419,120.0,117.0,3.0,120.390755,119.20808,1.9029063
81,150.0,84.0,0.0,145.93616,69.20335,0.4003419,126.00001,117.0,3.0,131.68913,119.20808,1.9029063
82,150.0,117.0,0.0,149.32631,103.8826,0.4003419,153.0,150.0,3.0,148.69785,143.28888,1.9029063
83,129.0,117.0,0.0,122.35417,103.8826,0.4003419,203.99998,150.0,3.0,213.09367,143.28888,1.9029063
84,129.0,129.0,27.0,122.86261,118.86937,23.470789,171.0,114.0,78.0,198.69086,149.9858,97.37067
85,129.0,129.0,27.0,124.0911,118.86937,23.470789,315.0,114.0,78.0,338.19205,149.9858,97.37067
86,129.0,129.0,27.0,126.34958,126.34958,23.470789,387.0,357.0,78.0,376.19516,355.72705,97.37067
87,132.0,129.0,27.0,130.75256,126.34958,23.470789,456.0,357.0,78.0,461.1847,355.72705,97.37067
88,144.0,129.0,117.0,137.70879,129.40128,112.626595,432.0,411.0,213.0,458.29202,421.33728,227.65102
89,156.0,129.0,117.0,146.4173,129.40128,112.626595,411.0,411.0,213.0,412.33905,421.33728,227.65102
90,180.0,132.0,117.0,185.39862,141.16281,112.626595,369.00003,213.0,213.0,370.48416,218.84956,227.65102
91,189.0,132.0,117.0,213.69171,141.16281,112.626595,213.0,213.0,213.0,208.16739,218.84956,227.65102
92,276.0,147.0,0.0,296.47745,156.96135,0.030066786,101.99999,36.0,0.0,115.30674,43.090126,-0.063723356
93,384.0,147.0,0.0,378.2763,156.96135,0.030066786,36.0,36.0,0.0,44.36062,43.090126,-0.063723356
94,468.0,0.0,0.0,482.53796,-1.1196826,0.030066786,6.0,0.0,0.0,4.561548,-0.048358068,-0.063723356
95,0.0,0.0,0.0,-0.0446615,-1.1196826,0.030066786,0.0,0.0,0.0,-0.018160282,-0.048358068,-0.063723356
